DAuid,WPname,distance
59151880,Central City Shopping mall,5019
59151880,Kwantlen Park,5613
59151880,King George Skytrain,4975
59151880,Surrey Central,4532
59151880,APH Matthew Park,5914
59151881,Bear Creek Park,6991
59151881,Walmart Supercenter (88ave),9628
59151881,Big plaza at 88 and scott road,10411
59151881,LA Matheson Secondary School/Moffat Park,8589
59151881,Tannery Park,9120
59151881,Brownville Pub,11023
59151881,Aria Banquet Convention Center,8436
59151881,Bridgeview Park,8207
59151881,Bolivar Park,7375
59151881,Scott Road Skytrain,8490
59151881,Surrey memorial parking,5600
59151881,David Brankin Elementary School/William Beagle Park,7987
59151881,Cedar Hills Shopping Center,7175
59151881,Holland Park,6443
59151881,Central City Shopping mall,5021
59151881,Kwantlen Park,6483
59151881,King George Skytrain,4978
59151881,Surrey Central,5108
59151881,APH Matthew Park,5916
59151882,Bear Creek Park,7242
59151882,Walmart Supercenter (88ave),9879
59151882,Big plaza at 88 and scott road,10737
59151882,LA Matheson Secondary School/Moffat Park,8915
59151882,Tannery Park,9740
59151882,Brownville Pub,17050
59151882,Aria Banquet Convention Center,8946
59151882,Bridgeview Park,8717
59151882,Bolivar Park,7885
59151882,Scott Road Skytrain,9000
59151882,Surrey memorial parking,5926
59151882,David Brankin Elementary School/William Beagle Park,8238
59151882,Cedar Hills Shopping Center,7501
59151882,Holland Park,6769
59151882,Central City Shopping mall,5348
59151882,Kwantlen Park,6810
59151882,King George Skytrain,5304
59151882,Surrey Central,5618
59151882,APH Matthew Park,6242
59151883,Bear Creek Park,7467
59151883,Walmart Supercenter (88ave),10104
59151883,Big plaza at 88 and scott road,10962
59151883,LA Matheson Secondary School/Moffat Park,9140
59151883,Tannery Park,9965
59151883,Brownville Pub,17274
59151883,Aria Banquet Convention Center,8878
59151883,Bridgeview Park,8650
59151883,Bolivar Park,7818
59151883,Scott Road Skytrain,8932
59151883,Surrey memorial parking,6150
59151883,David Brankin Elementary School/William Beagle Park,8462
59151883,Cedar Hills Shopping Center,7726
59151883,Holland Park,6994
59151883,Central City Shopping mall,5572
59151883,Kwantlen Park,7034
59151883,King George Skytrain,5528
59151883,Surrey Central,5550
59151883,APH Matthew Park,6467
59151884,Bear Creek Park,6943
59151884,Walmart Supercenter (88ave),9580
59151884,Big plaza at 88 and scott road,10438
59151884,LA Matheson Secondary School/Moffat Park,8616
59151884,Tannery Park,9441
59151884,Brownville Pub,17046
59151884,Aria Banquet Convention Center,8942
59151884,Bridgeview Park,8714
59151884,Bolivar Park,7881
59151884,Scott Road Skytrain,8996
59151884,Surrey memorial parking,5627
59151884,David Brankin Elementary School/William Beagle Park,7939
59151884,Cedar Hills Shopping Center,7202
59151884,Holland Park,6470
59151884,Central City Shopping mall,5048
59151884,Kwantlen Park,6511
59151884,King George Skytrain,5005
59151884,Surrey Central,5463
59151884,APH Matthew Park,5943
59151885,Bear Creek Park,6751
59151885,Walmart Supercenter (88ave),9388
59151885,Big plaza at 88 and scott road,10171
59151885,LA Matheson Secondary School/Moffat Park,8349
59151885,Tannery Park,9376
59151885,Brownville Pub,17705
59151885,Aria Banquet Convention Center,9211
59151885,Bridgeview Park,8983
59151885,Bolivar Park,8150
59151885,Scott Road Skytrain,9265
59151885,Surrey memorial parking,5359
59151885,David Brankin Elementary School/William Beagle Park,7746
59151885,Cedar Hills Shopping Center,6935
59151885,Holland Park,6405
59151885,Central City Shopping mall,4983
59151885,Kwantlen Park,6446
59151885,King George Skytrain,5413
59151885,Surrey Central,5398
59151885,APH Matthew Park,6198
59151886,Bear Creek Park,6309
59151886,Walmart Supercenter (88ave),8946
59151886,Big plaza at 88 and scott road,9729
59151886,LA Matheson Secondary School/Moffat Park,7907
59151886,Tannery Park,9221
59151886,Brownville Pub,17549
59151886,Aria Banquet Convention Center,9056
59151886,Bridgeview Park,8827
59151886,Bolivar Park,7995
59151886,Scott Road Skytrain,9110
59151886,Surrey memorial parking,4917
59151886,David Brankin Elementary School/William Beagle Park,7305
