INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat
Theft of Motor Vehicle,96TH AVE / KING GEORGE BLVD,1,2020,20-12453,-122.8456401,49.1770793
Theft of Motor Vehicle,12100 MUSQUEAM DR,1,2020,20-13766,-122.885702,49.2071185
Theft of Motor Vehicle,10000 128A ST,1,2020,20-14202,-122.8657326,49.1846097
Theft of Motor Vehicle,129TH ST / 115B AVE,1,2020,20-14204,-122.8646538,49.2127097
Theft of Motor Vehicle,10200 125TH ST,1,2020,20-14267,-122.8751774,49.188273
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-14457,-122.845107,49.186183
Theft of Motor Vehicle,13400 CENTRAL AVE,1,2020,20-14485,-122.8503394,49.190124
Theft of Motor Vehicle,13200 100TH AVE,1,2020,20-15293,-122.8565405,49.184382
Theft of Motor Vehicle,12500 106A AVE,1,2020,20-15359,-122.8222364,49.1958506
Theft of Motor Vehicle,13300 104TH AVE,1,2020,20-15599,-122.853667,49.191512
Theft of Motor Vehicle,12500 110TH AVE,1,2020,20-15613,-122.8759358,49.2026455
Theft of Motor Vehicle,11100 124TH ST,1,2020,20-15658,-122.8786244,49.2043332
Theft of Motor Vehicle,11100 SCOTT RD,1,2020,20-1173,-122.8775273,49.20328840000001
Theft of Motor Vehicle,12700 114TH AVE,1,2020,20-3179,-122.8701417,49.20959149999999
Theft of Motor Vehicle,9000 139TH ST,1,2020,20-5494,-122.8370147,49.1676502
Theft of Motor Vehicle,11900 OLD YALE RD,1,2020,20-1708,-122.892268,49.2042374
Theft of Motor Vehicle,13800 GROSVENOR RD,1,2020,20-10465,-122.8394076,49.2020097
Theft of Motor Vehicle,12800 105A AVE,1,2020,20-3384,-122.868001,49.19436959999999
Theft of Motor Vehicle,10000 PARK DR,1,2020,20-10790,-122.8737924,49.1847578
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-15426,-122.845107,49.186183
Theft of Motor Vehicle,15200 93A AVE,1,2020,20-3312,-122.7995694,49.17240349999999
Theft of Motor Vehicle,10700 150TH ST,1,2020,20-4360,-122.8053479,49.1967644
Theft of Motor Vehicle,160TH ST / 103RD AVE,1,2020,20-5124,-122.7785156,49.1893678
Theft of Motor Vehicle,14600 105A AVE,1,2020,20-7042,-122.8175919,49.1937234
Theft of Motor Vehicle,14900 100TH AVE,1,2020,20-7981,-122.8104324,49.1841809
Theft of Motor Vehicle,8400 151A ST,1,2020,20-11501,-122.8019298,49.19509
Theft of Motor Vehicle,9600 155TH ST,1,2020,20-13191,-122.7928689,49.1769318
Theft of Motor Vehicle,15900 84TH AVE,1,2020,20-14384,-122.7821747,49.1552477
Theft of Motor Vehicle,15400 110A AVE,1,2020,20-14723,-122.7953402,49.203178
Theft of Motor Vehicle,15700 98TH AVE,1,2020,20-9048,-122.787113,49.18063000000001
Theft of Motor Vehicle,8600 150TH ST,1,2020,20-8913,-122.80642,49.1812526
Theft of Motor Vehicle,14000 113A AVE,1,2020,20-5767,-122.83424,49.2085945
Theft of Motor Vehicle,11300 141A ST,1,2020,20-9019,-122.8304104,49.2086234
Theft of Motor Vehicle,14900 FRASER HWY,1,2020,20-1893,-122.8092052,49.1690048
Theft of Motor Vehicle,9200 148A ST,1,2020,20-2695,-122.810602,49.170125
Theft of Motor Vehicle,15400 94TH AVE,1,2020,20-2724,-122.795735,49.173527
Theft of Motor Vehicle,146TH ST / 110A AVE,1,2020,20-3221,-122.8180908,49.2031568
Theft of Motor Vehicle,10400 150TH ST,1,2020,20-3860,-122.8064117,49.191529
Theft of Motor Vehicle,14800 101A AVE,1,2020,20-5665,-122.8128205,49.1867029
Theft of Motor Vehicle,15500 FRASER HWY,1,2020,20-6988,-122.7924237,49.1625075
Theft of Motor Vehicle,15400 BLOCK 91ST AVE,1,2020,20-7023,-122.7956187,49.1680964
Theft of Motor Vehicle,15200 TRANS CANADA HWY,1,2020,20-8388,-76.2279661,44.9909048
Theft of Motor Vehicle,14100 108TH AVE,1,2020,20-9494,-122.8312724,49.1988366
Theft of Motor Vehicle,10400 155TH ST,1,2020,20-10315,-122.7925652,49.1851339
Theft of Motor Vehicle,15600 82ND AVE,1,2020,20-10607,-122.7899413,49.1518679
Theft of Motor Vehicle,15400 85TH AVE,1,2020,20-10998,-122.7966468,49.1569931
Theft of Motor Vehicle,10700 150TH ST,1,2020,20-11785,-122.8053479,49.1967644
Theft of Motor Vehicle,10700 150TH ST,1,2020,20-12222,-122.8053479,49.1967644
Theft of Motor Vehicle,8300 155A ST,1,2020,20-14189,-122.7909842,49.1537045
Theft of Motor Vehicle,15500 84TH AVE,1,2020,20-15234,-122.7927991,49.155279
Theft of Motor Vehicle,101ST AVE / 153RD ST,1,2020,20-15272,-122.798135,49.186145
Theft of Motor Vehicle,GUILDFORD TOWN CNTR / MALL ACCESS,1,2020,20-15318,-122.8033251,49.1896613
